HITId	WorkerId	Input.src	Input.trg	Input.item	sys_id	rid	type	sid	score	time
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	71	system	151	0.825108534820572	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	197	system	52	0.564950163411977	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	276	system	329	0.499910570559828	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	52	system	122	0.369831384855531	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	351	cal	248	-1.77647517926538	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	237	repeat	268	-2.75206907204761	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	650	ref	178	0.760068941968423	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	433	system	216	0.174712606299085	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	512	system	153	0.239752199151233	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	663	system	278	-0.150485357961659	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	676	repeat	93	-2.88214825775191	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	333	system	334	-0.0204061722573616	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	575	system	33	-1.64639599356108	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	298	cal	36	-3.4024650005691	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	529	system	274	0.174712606299085	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	163	system	257	0.499910570559828	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	393	system	284	0.43487097770768	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	439	system	115	-3.0122274434562	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	510	ref	291	0.825108534820572	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	459	system	81	-2.81710866489976	708
