HITId	WorkerId	Input.src	Input.trg	Input.item	sys_id	rid	type	sid	score	time
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	199	cal	186	-1.05596762342001	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	245	system	290	-0.655785509775064	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	554	system	320	-0.932834665375412	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	495	system	289	-0.625002270263914	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	60	system	87	-1.08675086293116	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	465	repeat	257	-0.471086072708165	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	408	system	3	-0.0709039590632168	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	535	system	324	-0.101687198574367	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	331	ref	6	1.96078984867267	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	138	system	299	1.71452393258347	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	474	system	42	-0.194036917107816	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	80	system	346	-0.717351988797364	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	550	repeat	282	-0.748135228308513	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	393	system	312	0.760243507737829	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	534	ref	163	1.96078984867267	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	496	cal	133	-1.08675086293116	4514
3JAOYN9IHL2IHPD1XYJ7WO2QY29334	A2RPII0OB1PREU	en	ro	ad	trans.ro	348	system	96	-0.840484946841963	4514
