SID SYS SCR N 
290 trans.ro 40.6 5 
320 trans.ro 30.6 5 
289 trans.ro 50.2 5 
87 trans.ro 17.4 5 
257 trans.ro 57.8 5 
3 trans.ro 59.6 5 
324 trans.ro 46 5 
299 trans.ro 83 5 
42 trans.ro 52.4 5 
346 trans.ro 45.4 5 
282 trans.ro 63.4 5 
312 trans.ro 68 5 
96 trans.ro 33.4 5 
134 trans.ro 25 5 
327 trans.ro 47.6 5 
179 trans.ro 32.8 5 
200 trans.ro 24.2 5 
82 trans.ro 22 5 
176 trans.ro 20.8 5 
19 trans.ro 34.6 5 
218 trans.ro 59.6 5 
26 trans.ro 36 5 
275 trans.ro 36 5 
207 trans.ro 65 5 
24 trans.ro 41.8 5 
190 trans.ro 25.4 5 
0 trans.ro 26.8 5 
20 trans.ro 19.2 5 
340 trans.ro 35.2 5 
188 trans.ro 82.2 5 
13 trans.ro 37.4 5 
105 trans.ro 33 5 
293 trans.ro 14.6 5 
214 trans.ro 77 5 
184 trans.ro 75.8 5 
330 trans.ro 35 5 
152 trans.ro 100 5 
205 trans.ro 50.6 5 
212 trans.ro 29.2 5 
74 trans.ro 24.6 5 
138 trans.ro 40.8 5 
117 trans.ro 22.8 5 
6 trans.ro 64 5 
313 trans.ro 23.8 5 
56 trans.ro 32.6 5 
186 trans.ro 26 5 
120 trans.ro 57.6 5 
133 trans.ro 9.2 5 
63 trans.ro 22.4 5 
278 trans.ro 46.6 5 
163 trans.ro 60.6 5 
113 trans.ro 27.2 5 
173 trans.ro 36.4 5 
167 trans.ro 33.4 5 
57 trans.ro 61.4 5 
248 trans.ro 54.4 5 
23 trans.ro 47.2 5 
249 trans.ro 93 5 
18 trans.ro 53 5 
161 trans.ro 48.2 5 
195 trans.ro 40.4 5 
250 trans.ro 45.4 5 
121 trans.ro 11.6 5 
32 trans.ro 59.6 5 
90 trans.ro 11.4 5 
100 trans.ro 10.8 5 
337 trans.ro 28.4 5 
119 trans.ro 44.2 5 
75 trans.ro 28.6 5 
158 trans.ro 34.6 5 
208 trans.ro 87.6 5 
98 trans.ro 40.4 5 
261 trans.ro 43.6 5 
328 trans.ro 64.6 5 
210 trans.ro 61 5 
154 trans.ro 80 5 
279 trans.ro 47.2 5 
301 trans.ro 26.2 5 
334 trans.ro 51 5 
307 trans.ro 44 5 
295 trans.ro 33.8 5 
306 trans.ro 75.4 5 
326 trans.ro 36.8 5 
274 trans.ro 67.8 5 
145 trans.ro 66.6 5 
264 trans.ro 89.2 5 
28 trans.ro 41.4 5 
271 trans.ro 62 5 
226 trans.ro 51.8 5 
93 trans.ro 53.4 5 
104 trans.ro 63 5 
35 trans.ro 35 5 
112 trans.ro 14 5 
268 trans.ro 47.8 5 
323 trans.ro 27.2 5 
294 trans.ro 60.4 5 
209 trans.ro 57.6 5 
266 trans.ro 35.2 5 
27 trans.ro 27.8 5 
276 trans.ro 44.4 5 
40 trans.ro 21.6 5 
61 trans.ro 33.2 5 
203 trans.ro 10.8 5 
338 trans.ro 33.4 5 
286 trans.ro 78.2 5 
172 trans.ro 35.4 5 
89 trans.ro 32.4 5 
241 trans.ro 58.8 5 
137 trans.ro 27.4 5 
253 trans.ro 31.8 5 
78 trans.ro 42.4 5 
192 trans.ro 57.4 5 
80 trans.ro 49.6 5 
91 trans.ro 46.6 5 
116 trans.ro 29 5 
335 trans.ro 51.2 5 
332 trans.ro 62.8 5 
287 trans.ro 46.6 5 
243 trans.ro 75.6 5 
168 trans.ro 58 5 
92 trans.ro 37 5 
204 trans.ro 54.6 5 
219 trans.ro 49.8 5 
59 trans.ro 49.8 5 
321 trans.ro 36.8 5 
322 trans.ro 58.6 5 
103 trans.ro 40.4 5 
238 trans.ro 48.6 5 
55 trans.ro 61.6 5 
37 trans.ro 19.4 5 
227 trans.ro 53.6 5 
300 trans.ro 66.2 5 
34 trans.ro 23 5 
269 trans.ro 46 5 
262 trans.ro 41.2 5 
76 trans.ro 67.2 5 
102 trans.ro 9.4 5 
30 trans.ro 58.6 5 
228 trans.ro 61.4 5 
217 trans.ro 58.6 5 
206 trans.ro 73.6 5 
123 trans.ro 58 5 
177 trans.ro 63.6 5 
221 trans.ro 64.2 5 
45 trans.ro 80.8 5 
69 trans.ro 28.4 5 
175 trans.ro 48.8 5 
237 trans.ro 27.2 5 
151 trans.ro 81 5 
220 trans.ro 62.2 5 
230 trans.ro 61.2 5 
258 trans.ro 46.4 5 
231 trans.ro 56.6 5 
153 trans.ro 32.6 5 
2 trans.ro 63 5 
297 trans.ro 43 5 
162 trans.ro 51.2 5 
180 trans.ro 66 5 
189 trans.ro 27.8 5 
50 trans.ro 51.2 5 
256 trans.ro 56.2 5 
33 trans.ro 35.4 5 
339 trans.ro 37.2 5 
144 trans.ro 80.4 5 
345 trans.ro 38.2 5 
21 trans.ro 30 5 
95 trans.ro 65.6 5 
329 trans.ro 90 5 
99 trans.ro 43.8 5 
9 trans.ro 38.4 5 
126 trans.ro 49 5 
142 trans.ro 22.4 5 
31 trans.ro 26 5 
187 trans.ro 92.4 5 
317 trans.ro 40 5 
62 trans.ro 36.4 5 
244 trans.ro 48.6 5 
81 trans.ro 21.6 5 
255 trans.ro 48.8 5 
199 trans.ro 70.6 5 
245 trans.ro 47 5 
140 trans.ro 77.4 5 
83 trans.ro 25 5 
48 trans.ro 45.2 5 
272 trans.ro 82 5 
72 trans.ro 69.8 5 
7 trans.ro 20.8 5 
68 trans.ro 27.2 5 
149 trans.ro 65 5 
198 trans.ro 45.8 5 
101 trans.ro 30.2 5 
285 trans.ro 59 5 
39 trans.ro 26.2 5 
58 trans.ro 31.4 5 
84 trans.ro 39 5 
273 trans.ro 96 5 
52 trans.ro 46.2 5 
114 trans.ro 14.2 5 
348 trans.ro 32.6 5 
265 trans.ro 97.6 5 
109 trans.ro 96 5 
202 trans.ro 29.6 5 
125 trans.ro 46.4 5 
86 trans.ro 59 5 
159 trans.ro 34.4 5 
146 trans.ro 16 5 
94 trans.ro 51.4 5 
196 trans.ro 39.4 5 
251 trans.ro 49.6 5 
11 trans.ro 30 5 
73 trans.ro 33.6 5 
331 trans.ro 58.8 5 
131 trans.ro 26.8 5 
242 trans.ro 47 5 
341 trans.ro 14.4 5 
49 trans.ro 67.4 5 
236 trans.ro 28 5 
318 trans.ro 81 5 
46 trans.ro 17.8 5 
223 trans.ro 87.8 5 
156 trans.ro 68.4 5 
270 trans.ro 40.8 5 
164 trans.ro 56.8 5 
127 trans.ro 72 5 
309 trans.ro 54.4 5 
143 trans.ro 43.8 5 
110 trans.ro 22.8 5 
213 trans.ro 80.2 5 
229 trans.ro 19.4 5 
14 trans.ro 25 5 
22 trans.ro 36.8 5 
201 trans.ro 26.6 5 
292 trans.ro 26.2 5 
79 trans.ro 40.8 5 
88 trans.ro 43.8 5 
310 trans.ro 91.4 5 
60 trans.ro 50.2 5 
343 trans.ro 34 5 
211 trans.ro 52 5 
77 trans.ro 31.6 5 
15 trans.ro 45.8 5 
139 trans.ro 31.6 5 
319 trans.ro 63.6 5 
41 trans.ro 30.2 5 
181 trans.ro 78 5 
325 trans.ro 43.4 5 
128 trans.ro 58 5 
304 trans.ro 58.6 5 
124 trans.ro 67.4 5 
157 trans.ro 55.2 5 
349 trans.ro 27.8 5 
107 trans.ro 15.6 5 
8 trans.ro 17.2 5 
29 trans.ro 34.4 5 
302 trans.ro 48.2 5 
65 trans.ro 24 5 
