lang,sentenceId,origSentenceId,docId,docPos
cs,1,2321,reuters.126785,1
de,1,1915,reuters.126785,1
ro,1,748,reuters.126785,1
cs,2,2322,reuters.126785,2
de,2,1916,reuters.126785,2
ro,2,749,reuters.126785,2
cs,3,2323,reuters.126785,3
de,3,1917,reuters.126785,3
ro,3,750,reuters.126785,3
cs,4,2324,reuters.126785,4
de,4,1918,reuters.126785,4
ro,4,751,reuters.126785,4
cs,5,2325,reuters.126785,5
de,5,1919,reuters.126785,5
ro,5,752,reuters.126785,5
cs,6,2326,reuters.126785,6
de,6,1920,reuters.126785,6
ro,6,753,reuters.126785,6
cs,7,2328,reuters.126785,8
de,7,1922,reuters.126785,8
ro,7,755,reuters.126785,8
cs,8,2329,reuters.126785,9
de,8,1923,reuters.126785,9
ro,8,756,reuters.126785,9
cs,9,2330,reuters.126785,10
de,9,1924,reuters.126785,10
ro,9,757,reuters.126785,10
cs,10,2332,reuters.126785,12
de,10,1926,reuters.126785,12
ro,10,759,reuters.126785,12
cs,11,2333,reuters.126785,13
de,11,1927,reuters.126785,13
ro,11,760,reuters.126785,13
cs,12,2334,reuters.126785,14
de,12,1928,reuters.126785,14
ro,12,761,reuters.126785,14
cs,13,2335,reuters.126785,15
de,13,1929,reuters.126785,15
ro,13,762,reuters.126785,15
cs,14,2336,reuters.126785,16
de,14,1930,reuters.126785,16
ro,14,763,reuters.126785,16
cs,15,2337,reuters.126785,17
de,15,1931,reuters.126785,17
ro,15,764,reuters.126785,17
cs,16,2338,reuters.126785,18
de,16,1932,reuters.126785,18
ro,16,765,reuters.126785,18
cs,17,2339,reuters.126785,19
de,17,1933,reuters.126785,19
ro,17,766,reuters.126785,19
cs,18,2340,reuters.126785,20
de,18,1934,reuters.126785,20
ro,18,767,reuters.126785,20
cs,19,2342,reuters.126785,22
de,19,1936,reuters.126785,22
ro,19,769,reuters.126785,22
cs,20,2345,reuters.126785,25
de,20,1939,reuters.126785,25
ro,20,772,reuters.126785,25
cs,21,2346,reuters.126785,26
de,21,1940,reuters.126785,26
ro,21,773,reuters.126785,26
cs,22,2347,reuters.126785,27
