lang,sentenceId,sys1,value1,sys2,value2
de,26,uedin-nmt,3,uedin-pbmt,3
de,26,uedin-nmt,3,uedin-pbmt,3
de,30,uedin-pbmt,3,uedin-syntax,2
de,30,uedin-pbmt,3,uedin-syntax,2
de,31,uedin-pbmt,4,uedin-syntax,1
de,31,uedin-pbmt,4,uedin-syntax,1
de,37,uedin-pbmt,5,uedin-syntax,2
de,37,uedin-pbmt,5,uedin-syntax,2
ro,37,QT21-HimL-SysComb,1,uedin-pbmt,2
ro,37,QT21-HimL-SysComb,1,uedin-pbmt,2
de,39,uedin-pbmt,4,uedin-syntax,1
de,39,uedin-pbmt,4,uedin-syntax,1
de,40,uedin-nmt,2,uedin-syntax,2
de,40,uedin-nmt,2,uedin-syntax,2
de,40,uedin-nmt,2,uedin-syntax,2
de,40,uedin-nmt,2,uedin-syntax,2
de,40,uedin-nmt,2,uedin-syntax,2
de,40,uedin-nmt,2,uedin-syntax,2
de,41,uedin-pbmt,5,uedin-syntax,2
de,41,uedin-pbmt,5,uedin-syntax,2
cs,68,cu-TectoMT,1,uedin-nmt,1
cs,68,cu-TectoMT,1,uedin-nmt,1
de,68,uedin-nmt,3,uedin-pbmt,5
de,68,uedin-nmt,3,uedin-pbmt,5
cs,69,cu-TectoMT,3,cu-chimera,4
cs,69,cu-TectoMT,3,cu-chimera,4
ro,69,QT21-HimL-SysComb,4,uedin-nmt,2
ro,69,QT21-HimL-SysComb,3,uedin-pbmt,3
ro,69,QT21-HimL-SysComb,4,uedin-nmt,2
ro,69,QT21-HimL-SysComb,3,uedin-pbmt,3
ro,70,QT21-HimL-SysComb,1,uedin-nmt,3
ro,70,QT21-HimL-SysComb,1,uedin-nmt,3
de,71,uedin-nmt,1,uedin-syntax,1
de,71,uedin-pbmt,4,uedin-syntax,1
de,71,uedin-pbmt,4,uedin-syntax,1
de,71,uedin-nmt,1,uedin-syntax,1
ro,71,QT21-HimL-SysComb,2,uedin-pbmt,2
ro,71,QT21-HimL-SysComb,5,uedin-pbmt,5
ro,71,uedin-nmt,1,uedin-pbmt,2
ro,71,uedin-nmt,1,uedin-pbmt,2
ro,71,QT21-HimL-SysComb,2,uedin-pbmt,2
ro,71,QT21-HimL-SysComb,5,uedin-pbmt,5
ro,72,QT21-HimL-SysComb,3,uedin-pbmt,2
ro,72,QT21-HimL-SysComb,3,uedin-pbmt,2
cs,73,cu-chimera,1,uedin-nmt,4
cs,73,cu-chimera,1,uedin-nmt,4
ro,73,QT21-HimL-SysComb,1,uedin-nmt,2
ro,73,QT21-HimL-SysComb,1,uedin-nmt,2
ro,74,QT21-HimL-SysComb,1,uedin-nmt,1
ro,74,QT21-HimL-SysComb,1,uedin-pbmt,2
ro,74,QT21-HimL-SysComb,1,uedin-nmt,1
ro,74,QT21-HimL-SysComb,1,uedin-pbmt,1
ro,74,QT21-HimL-SysComb,1,uedin-nmt,1
ro,74,uedin-nmt,1,uedin-pbmt,2
ro,74,QT21-HimL-SysComb,1,uedin-nmt,1
ro,74,uedin-nmt,1,uedin-pbmt,1
ro,74,QT21-HimL-SysComb,1,uedin-pbmt,2
ro,74,uedin-nmt,1,uedin-pbmt,2
ro,74,QT21-HimL-SysComb,1,uedin-pbmt,1
ro,74,uedin-nmt,1,uedin-pbmt,1
de,75,uedin-nmt,2,uedin-syntax,2
de,75,uedin-nmt,3,uedin-syntax,3
de,75,uedin-nmt,1,uedin-syntax,1
de,75,uedin-pbmt,3,uedin-syntax,2
de,75,uedin-pbmt,3,uedin-syntax,2
de,75,uedin-nmt,2,uedin-syntax,2
de,75,uedin-nmt,3,uedin-syntax,3
de,75,uedin-nmt,1,uedin-syntax,1
cs,76,cu-TectoMT,4,cu-chimera,4
cs,76,cu-TectoMT,3,cu-chimera,3
cs,76,cu-chimera,3,uedin-nmt,2
