HITId	WorkerId	Input.src	Input.trg	Input.item	sys_id	rid	type	sid	score	time
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	71	system	151	100	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	197	system	52	96	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	276	system	329	95	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	52	system	122	93	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	351	cal	248	60	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	237	repeat	268	45	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	650	ref	178	99	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	433	system	216	90	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	512	system	153	91	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	663	system	278	85	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	676	repeat	93	43	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	333	system	334	87	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	575	system	33	62	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	298	cal	36	35	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	529	system	274	90	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	163	system	257	95	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	393	system	284	94	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	439	system	115	41	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	510	ref	291	100	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	459	system	81	44	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	204	repeat	148	87	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	10	system	32	100	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	102	system	307	94	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	91	cal	183	27	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	639	system	106	88	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	582	system	92	86	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	290	system	313	92	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	497	system	49	95	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	152	system	263	94	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	295	ref	8	91	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	457	ref	189	90	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	21	system	226	71	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	118	system	15	86	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	382	system	161	90	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	452	system	142	99	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	467	repeat	79	98	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	165	cal	250	94	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	678	system	11	89	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	257	system	330	96	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	420	system	27	100	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	247	ref	173	100	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	117	system	245	96	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	502	system	124	87	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	536	cal	203	40	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	260	system	125	39	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	588	system	62	41	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	657	system	287	82	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	551	system	323	82	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	437	repeat	22	84	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	525	system	168	87	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	40	system	58	92	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	146	system	154	86	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	249	system	178	94	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	215	system	218	89	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	236	repeat	52	80	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	162	system	248	67	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	501	ref	122	79	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	424	system	41	85	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	640	system	268	86	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	526	cal	153	63	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	299	system	95	86	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	259	system	36	79	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	37	system	291	83	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	636	cal	274	86	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	417	system	163	85	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	211	system	195	86	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	367	system	132	86	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	350	ref	115	100	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	142	system	93	91	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	170	repeat	33	33	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	460	system	183	88	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	334	system	10	87	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	522	cal	313	81	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	500	repeat	307	89	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	230	system	72	90	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	4	system	126	94	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	358	ref	32	100	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	210	system	148	90	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	605	system	8	93	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	624	system	109	95	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	354	ref	27	100	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	533	system	327	93	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	357	system	189	87	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	388	system	280	84	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	53	repeat	11	94	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	175	system	250	93	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	567	cal	330	97	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	3	system	246	89	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	561	system	43	95	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	288	system	79	90	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	364	system	203	34	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	93	system	22	79	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	203	repeat	168	77	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	520	cal	287	36	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	473	system	173	75	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	428	system	201	95	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	517	system	120	91	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	16	system	94	96	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	244	system	171	82	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A3KVU2C809DOK5	en	de	ad	trans.de	511	ref	323	94	708
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	71	system	151	100	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	197	system	52	43	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	276	system	329	56	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	52	system	122	68	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	351	cal	248	32	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	237	repeat	268	33	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	650	ref	178	100	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	433	system	216	100	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	512	system	153	55	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	663	system	278	57	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	676	repeat	93	59	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	333	system	334	32	462
3L7SUC0TTUUNMJMEKT63QPDPVH20MI	A1LV4DHF5NX26Z	en	de	ad	trans.de	575	system	33	33	462
