SID SYS SCR N 
87 trans.ro 26.7333333333333 15 
257 trans.ro 44.1333333333333 15 
282 trans.ro 41.1333333333333 15 
312 trans.ro 70.4 15 
176 trans.ro 27.9333333333333 15 
26 trans.ro 34.8666666666667 15 
20 trans.ro 11.5333333333333 15 
188 trans.ro 82.3333333333333 15 
293 trans.ro 34.9333333333333 15 
184 trans.ro 47.6 15 
261 trans.ro 34.0666666666667 15 
328 trans.ro 71.2 15 
334 trans.ro 20.6666666666667 15 
264 trans.ro 88.0666666666667 15 
93 trans.ro 41.9333333333333 15 
35 trans.ro 45 15 
209 trans.ro 54.4 15 
266 trans.ro 23.3333333333333 15 
241 trans.ro 55.4 15 
137 trans.ro 31.7333333333333 15 
335 trans.ro 53.9333333333333 15 
332 trans.ro 60.8 15 
287 trans.ro 46.2666666666667 15 
243 trans.ro 96.2666666666667 15 
168 trans.ro 79.6666666666667 15 
92 trans.ro 44.4666666666667 15 
204 trans.ro 74.8 15 
219 trans.ro 37.6 15 
59 trans.ro 36.2 15 
321 trans.ro 17.2666666666667 15 
322 trans.ro 35.4 15 
103 trans.ro 39.5333333333333 15 
238 trans.ro 49.0666666666667 15 
55 trans.ro 53.2 15 
37 trans.ro 37.0666666666667 15 
227 trans.ro 49.4666666666667 15 
300 trans.ro 50.2 15 
34 trans.ro 14.6 15 
269 trans.ro 46.3333333333333 15 
262 trans.ro 32.5333333333333 15 
76 trans.ro 59.7333333333333 15 
102 trans.ro 18.9333333333333 15 
30 trans.ro 48.9333333333333 15 
228 trans.ro 85.7333333333333 15 
177 trans.ro 66.1333333333333 15 
237 trans.ro 34.2 15 
7 trans.ro 28.1333333333333 15 
68 trans.ro 26 15 
84 trans.ro 29.2 15 
348 trans.ro 44.3333333333333 15 
125 trans.ro 48.6 15 
159 trans.ro 38 15 
341 trans.ro 29.5333333333333 15 
49 trans.ro 41.2666666666667 15 
270 trans.ro 40.7333333333333 15 
143 trans.ro 25.9333333333333 15 
