SID SYS SCR N 
151 trans.de 95.2 5 
52 trans.de 56.6 5 
329 trans.de 25.8 5 
122 trans.de 33 5 
268 trans.de 32 5 
216 trans.de 67.6 5 
153 trans.de 70.4 5 
278 trans.de 33.4 5 
93 trans.de 4 5 
334 trans.de 36.2 5 
33 trans.de 36 5 
274 trans.de 64.8 5 
257 trans.de 54.2 5 
284 trans.de 77.6 5 
115 trans.de 42.8 5 
81 trans.de 83.6 5 
148 trans.de 70.8 5 
32 trans.de 75 5 
307 trans.de 63.8 5 
106 trans.de 18.6 5 
92 trans.de 62.6 5 
313 trans.de 70.8 5 
49 trans.de 44.4 5 
263 trans.de 63.6 5 
226 trans.de 57.6 5 
15 trans.de 51.2 5 
161 trans.de 60 5 
142 trans.de 97.4 5 
79 trans.de 42.8 5 
11 trans.de 45.6 5 
330 trans.de 93.6 5 
27 trans.de 70.6 5 
245 trans.de 77.6 5 
124 trans.de 71.6 5 
125 trans.de 68.6 5 
62 trans.de 57.6 5 
287 trans.de 50.4 5 
323 trans.de 72.2 5 
22 trans.de 70.6 5 
168 trans.de 37.4 5 
58 trans.de 73.6 5 
154 trans.de 96.6 5 
178 trans.de 62.2 5 
218 trans.de 36.6 5 
248 trans.de 39.8 5 
41 trans.de 44.8 5 
95 trans.de 41.4 5 
36 trans.de 42.2 5 
291 trans.de 59 5 
163 trans.de 56.4 5 
195 trans.de 80.6 5 
132 trans.de 51.2 5 
183 trans.de 71.2 5 
10 trans.de 72.8 5 
72 trans.de 65.2 5 
126 trans.de 38.8 5 
8 trans.de 60 5 
109 trans.de 15.6 5 
327 trans.de 23 5 
189 trans.de 58 5 
280 trans.de 93.8 5 
250 trans.de 40.8 5 
246 trans.de 60.4 5 
43 trans.de 68.6 5 
203 trans.de 21.8 5 
173 trans.de 81.4 5 
201 trans.de 54.8 5 
120 trans.de 47 5 
94 trans.de 69.4 5 
171 trans.de 50 5 
0 trans.de 69.6 5 
185 trans.de 60.8 5 
16 trans.de 42.8 5 
150 trans.de 65.6 5 
176 trans.de 67.6 5 
227 trans.de 74.6 5 
35 trans.de 70.4 5 
87 trans.de 73.4 5 
68 trans.de 77 5 
212 trans.de 46 5 
2 trans.de 98.2 5 
37 trans.de 50.6 5 
322 trans.de 48.6 5 
295 trans.de 64.4 5 
50 trans.de 61.2 5 
28 trans.de 50 5 
9 trans.de 51.6 5 
318 trans.de 52.2 5 
220 trans.de 88.4 5 
214 trans.de 60.2 5 
21 trans.de 94.2 5 
75 trans.de 61.4 5 
236 trans.de 28 5 
29 trans.de 67.2 5 
145 trans.de 70.8 5 
320 trans.de 89 5 
177 trans.de 79 5 
181 trans.de 93.2 5 
140 trans.de 40.8 5 
97 trans.de 74 5 
25 trans.de 28 5 
146 trans.de 66.4 5 
276 trans.de 71.6 5 
31 trans.de 53 5 
283 trans.de 58 5 
299 trans.de 64.8 5 
233 trans.de 64.4 5 
40 trans.de 60.8 5 
74 trans.de 65.6 5 
241 trans.de 77.6 5 
194 trans.de 78.8 5 
130 trans.de 31.2 5 
138 trans.de 68.4 5 
315 trans.de 64.4 5 
219 trans.de 56 5 
237 trans.de 65.2 5 
235 trans.de 97.8 5 
197 trans.de 66 5 
180 trans.de 15.4 5 
239 trans.de 54.2 5 
89 trans.de 37.2 5 
311 trans.de 86.2 5 
335 trans.de 80 5 
182 trans.de 84.4 5 
234 trans.de 97.8 5 
44 trans.de 58.6 5 
240 trans.de 79.2 5 
179 trans.de 75.6 5 
112 trans.de 94 5 
99 trans.de 61 5 
326 trans.de 35.2 5 
337 trans.de 51.6 5 
215 trans.de 88.8 5 
199 trans.de 73.6 5 
242 trans.de 69.4 5 
101 trans.de 54.8 5 
331 trans.de 71.2 5 
