sequence_id	sent_id	system_id	annot_id	ucca_annot_id	lang	timestamp	source	target	reference	align	bleu	ucca_node_count	ucca_H	mteval_A	mteval_B	mteval_O	mteval_R	mteval_G	mteval_M
200	300	NMT	de_all1	amittaic	de	2017-04-10 13:12:38.086646	Obviously this is subject to you being a decent baker .	Das ist natürlich für Sie ein anständiger Bäcker .	Natürlich hängt dies davon ab , ob Sie ein anständiger Bäcker sind .	1-0 2-1 0-2 4-3 5-4 7-5 6-6 8-6 9-7 10-8	0.263611	15	1	2	3	0	3	7	0
149	249	NMT	de_all1	amittaic	de	2017-04-10 13:12:27.884610	The US economy has been performing relatively well , the recovery adding trillions of dollars to the balance sheet and generating little inflation .	Die US - Wirtschaft hat relativ gut funktioniert , die Erholung hat Billionen Dollar in die Bilanz gezogen und wenig Inflation erzeugt .	Die US @-@ Wirtschaft ist auf einem relativ guten Leistungsstand , Billionen Dollar werden zur Bilanz hinzugefügt und generieren nur eine geringe Inflation .	0-0 1-1 1-2 2-3 3-4 6-5 7-6 8-8 9-9 10-10 11-12 12-12 13-12 14-13 15-14 16-15 17-16 18-16 20-17 19-18 21-19 22-20 23-22	0.104363	32	3	10	0	4	0	18	0
199	299	NMT	de_all1	amittaic	de	2017-04-10 13:07:15.104220	Make friends through baking .	Machen Sie Freunde durch Backen .	Freundschaft schließen durch Backen .	0-0 1-2 2-3 3-4 4-5	0.411134	8	1	4	0	0	1	3	0
198	298	NMT	de_all1	amittaic	de	2017-04-10 13:06:26.910057	He saw some things .	Er hat einige Dinge gesehen .	Er sah einige Dinge .	0-0 1-1 1-4 2-2 3-3 4-5	0.330316	7	1	3	0	0	0	4	0
197	297	NMT	de_all1	amittaic	de	2017-04-10 13:05:37.504317	Speaking of knocking : do it .	Apropos Anklopfen : Tun Sie es .	Apropos anklopfen : Tun Sie es .	0-0 1-0 2-1 3-2 4-3 5-5 6-6	0.707107	9	2	4	0	0	0	5	0
196	296	NMT	de_all1	amittaic	de	2017-04-10 13:05:15.761062	Try to sense when a fellow student is exhausted from socialising - and maybe text instead of knocking .	Versuchen Sie , zu verstehen , wenn ein Mitschüler von der Sozialisierung erschöpft ist - und vielleicht Text statt klopfen .	Versuchen Sie zu spüren , wann ein Kommilitone von Geselligkeit erschöpft ist - und schicken Sie ihm eine SMS statt anzuklopfen .	0-0 1-3 2-4 3-6 4-7 5-8 9-9 10-11 8-12 7-13 11-14 12-15 13-16 14-17 15-18 17-19 18-20	0.207004	25	2	8	1	1	1	14	0
195	295	NMT	de_all1	amittaic	de	2017-04-10 13:03:32.881589	That can be hell for someone who 's trying to recharge .	Das kann die Hölle für jemanden sein , der sich wieder aufladen will .	Das kann die Hölle für jemand sein , der versucht , sich zu erholen .	0-0 1-1 3-3 4-4 5-5 2-6 6-8 7-9 10-10 10-11 8-12 9-12 11-13	0.403449	16	1	5	0	1	0	10	0
194	294	NMT	de_all1	amittaic	de	2017-04-10 13:01:33.772480	Related : Don 't even think about starting university in a relationship	Bezogen : Denken Sie nicht einmal an die Startuniversität in einer Beziehung	Hierauf bezogen : Denken Sie nicht daran , an der Uni mit einer Beziehung anzufangen	0-0 1-1 2-4 3-4 4-5 5-8 6-8 7-8 8-8 9-9 10-10 11-11	0.267824	16	1	4	1	1	3	7	0
193	293	NMT	de_all1	amittaic	de	2017-04-10 12:59:08.310908	Give people space .	Geben Sie den Menschen Platz .	Lassen Sie Menschen .	0-0 1-3 2-4 3-5	0.262691	6	1	3	0	0	0	3	0
192	292	NMT	de_all1	amittaic	de	2017-04-10 12:58:52.783920	Take a breath .	Durchatmen .	Atmen Sie durch .	0-0 1-0 2-0 3-1	0.279528	6	1	3	0	0	0	3	0
