sent_id,annot_id,lang,source,target,reference,bleu,ucca_node_count,ucca_H,mteval_A,mteval_B,mteval_O,mteval_R,mteval_G,mteval_M
505,pl1,pl,"While many cases of angina can be treated with medication , a coronary angioplasty may be required to restore the blood supply to the heart in severe cases .","Podczas gdy wiele przypadków dławicy mogą być leczeni leków , angioplastyka wieńcowa może być wymagane w celu przywrócenia dopływu krwi do serca w ciężkich przypadkach .","W wielu przypadkach dławica piersiowa może być leczona farmakologicznie , a angioplastyka wieńcowa w celu przywrócenia dopływu krwi do serca będzie wymagana w sytuacjach szczególnych .",0.318236,40,2,10,2,8,5,13,2
169,pl1,pl,"When you &apos;re ready , try to let go .","Kiedy będziesz gotowy , -spróbuj odejść .","Kiedy jesteś gotowy , spróbuj się puścić .",0.240786,12,1,0,0,0,0,0,12
497,pl1,pl,Find out more about reducing your salt intake on the Chest Heart & Stroke Scotland website .,Dowiedz się więcej o twoim ograniczenia spożycia soli w klatce piersiowej Heart &amp; Stroke Szkocji internetowej .,"Należy unikać żywności o wysokiej zawartości tłuszczów nasyconych , ponieważ może ona zwiększyć poziom cholesterolu , co jest kolejnym czynnikiem ryzyka schorzeń sercowo- naczyniowych .",0.0499371,16,1,0,5,1,5,5,0
489,pl1,pl,"Stopping this medication suddenly will lead to serious side effects , such as a rise in blood pressure or chest pain caused by reduction in oxygen to your heart muscle ( angina ) .","Zatrzymanie tego leku nagle spowoduje poważne skutki uboczne , takie jak wzrost ciśnienia krwi lub ból w klatce piersiowej spowodowany zmniejszeniem tlenu do mięśnia sercowego ( dławicy piersiowej ) .","Nagłe przerwanie tego leku wywołuje poważne działania niepożądane , takie jak wzrost ciśnienia krwi lub ból w klatce piersiowej spowodowany zmniejszeniem ilości tlenu dostarczanego do mięśnia sercowego ( dławica piersiowa ) .",0.520877,47,1,13,0,0,4,21,9
593,pl1,pl,"When we performed subgroup analysis separately for trials with amoxicillin only and amoxicillin / clavulanate only , it showed that all important outcomes were comparable between once or twice daily groups and the three times daily group .","Kiedy będziemy przeprowadzać analizy podgrup oddzielnie dla badaniach z amoksycyliną jedynie i amoksycyliną / kwas klawulanowy jedynie wykazał , że wszystkie istotne wyniki były porównywalne pomiędzy grupami raz lub dwa razy na dobę i trzy razy na dobę .","W analizowanej podgrupie badań wykonywanych oddzielnie dla amoksycyliny i amoksycyliny / kwasu klawulanowego wykazano , że wszystkie istotne wyniki między grupami przyjmującymi środek raz lub dwa razy na dobę oraz grupą przyjmującą go trzy razy na dzień były porównywalne .",0.290837,56,2,13,7,3,7,22,4
481,pl1,pl,"This enables the blood vessels to relax and open , making it much easier for blood to flow through them and lower your blood pressure .","Umożliwia to rozszerzenie naczyń krwionośnych i otwartą , umożliwiając łatwiejszy przepływ krwi przez nich i obniżenia ciśnienia tętniczego krwi .","Umożliwia to rozluźnienie i otworzenie naczyń krwionośnych , ułatwiając przepływ krwi przez nie i obniżając ciśnienie tętnicze krwi .",0.181536,38,1,9,5,2,4,18,0
473,pl1,pl,Certain brands of calcium channel blocker may also cause constipation in some people .,Niektóre marek antagonisty kanału wapniowego może również powodować zaparcia w niektórych ludzi .,Niektóre rodzaje antagonistów kanału wapniowego mogą również powodować u niektórych osób zaparcia .,0.183096,17,1,4,1,2,1,8,1
761,pl1,pl,Oocyte vitrification compared to slow freezing probably increases clinical pregnancy rates in women undergoing assisted reproduction .,Oocyte procesów zeszkliwiania w porównaniu do powolnej zamrożenie prawdopodobnie zwiększenie częstości klinicznych ciąży u kobiet poddawanych wspomaganej reprodukcji .,"W porównaniu do powolnego zamrażania , witryfikacja komórek jajowych prawdopodobnie przekłada się na wzrost wskaźników dotyczących ciąży klinicznej u kobiet , które zdecydowały się na rozród wspomagany .",0.0746377,25,1,5,4,4,3,9,0
465,pl1,pl,"Therefore , blood and urine tests may be carried out before you start taking ACE inhibitors to make sure that there are no pre - existing problems with your kidneys .","W związku z tym badania krwi i moczu może być przeprowadzone przed rozpoczęciem stosowania inhibitorów ACE , aby upewnić się , że nie istnieją wcześniej istniejących problemów z nerkami .","W związku z tym , badanie krwi i moczu może być przeprowadzone przed zastosowaniem inhibitorów ACE , aby upewnić się , że nie występują żadne problemy z nerkami .",0.591052,41,2,11,1,1,1,24,3
457,pl1,pl,Research has shown that different blood pressure lowering medications work better for different ethnic groups .,"Badania wykazały , że różne leki obniżające ciśnienie krwi lepiej dla różnych grup etnicznych .","Badania wykazały , że różne leki obniżające ciśnienie krwi dają lepsze wyniki w różnych grupach etnicznych .",0.559186,21,1,3,3,1,2,10,2
673,pl1,pl,The morbidity and socioeconomic costs of fractures are considerable .,Zachorowalność i społeczno @-@ ekonomicznych kosztów złamań są znaczne .,Problemy zdrowotne i koszty socjoekonomiczne są znaczące .,0.149911,15,1,5,0,2,1,5,2
